"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[C]","            WineWoot","Retail","99.824","0.044","100","100","100","6.533","0.085","0.282","203.238","0.419","2.036"
"","[M](U)","        DPREVIEW.COM","Technology - News, Technology","1267.406","0.565","100","100","100","126.486","10.055","21.905","4253.87","2.364","3.356"
"","[M]","        AbeBooks","Retail, Retail - Books","1149.237","0.512","100","100","100","51.061","6.334","11.533","1609.841","3.935","1.401"
"","[C]","            ABEBOOKS.COM","Retail - Books, Retail","794.217","0.354","100","100","100","33.793","4","6.624","1033.733","3.87","1.302"
"","[C]","            LIBRARYTHING.COM","Directories/Resources - Reference, Directories/Resources","302.935","0.135","100","100","100","13.66","2.174","4.559","466.57","4.659","1.54"
"","[C]","            BOOKFINDER.COM","Directories/Resources - Reference, Directories/Resources","92.255","0.041","100","100","100","3.781","0.122","0.232","114.265","1.064","1.239"
"","[C]","            ABEBOOKS.CO.UK","Retail, Retail - Books","52.247","0.023","100","100","","","","","","",""
"","[M]","        MYHABIT.COM","Retail","915.743","0.408","100","100","100","73.68","8.616","15.261","2557.273","3.369","2.793"
"","[M]","        ALEXA.COM","Promotional Servers","549.281","0.245","100","100","100","42.073","2.983","16.381","2465.106","1.21","4.488"
"","[M]","        SHOPBOP.COM","Retail, Retail - Apparel","450.311","0.201","100","100","100","23.207","2.027","3.37","746.56","2.715","1.658"
"","[M]","        FABRIC.COM","Retail","399.695","0.178","100","100","100","17.649","2.236","4.14","566.233","3.948","1.417"
"","[M]","        CREATESPACE.COM","Social Media","314.335","0.14","100","100","100","29.97","12.033","11.963","1179.405","10.202","3.752"
"","[M]","        Book Depository","Retail, Retail - Books","267.747","0.119","100","100","100","10.19","0.293","0.656","306.647","0.956","1.145"
"","[C]","            BOOKDEPOSITORY.COM","Retail, Retail - Books","210.454","0.094","100","100","100","7.958","0.254","0.57","239.668","1.06","1.139"
"","[C]","            BOOKDEPOSITORY.CO.UK","Retail - Books, Retail","61.131","0.027","100","100","","","","","","",""
"","[M]","        MTURK.COM","Services - Incentives, Services","223.846","0.1","100","100","100","50.307","67.295","294.853","3286.131","20.478","14.68"
"","[M](u)","        LOVEFILM Sites","Entertainment, Entertainment - Movies","165.632","0.074","100","100","100","25.481","0.52","1.729","764.439","0.68","4.615"
"","[C](u)","            LOVEFILM.COM","Entertainment, Entertainment - Movies","148.069","0.066","100","100","100","24.021","0.487","1.628","720.634","0.675","4.867"
"","[M]","        AMAZONWEBSTORE.COM","Services","111.046","0.049","100","100","","","","","","",""
"","[M]","        SHELFARI.COM","Social Media, Social Media - Social Networking","103.051","0.046","100","100","100","4.323","0.491","1.156","136.296","3.605","1.323"
"","[M]","        JUNGLEE.COM","Retail, Retail - Comparison Shopping","35.122","0.016","100","100","","","","","","",""
"","[M]","        A9.COM","Search/Navigation","15.618","0.007","100","100","","","","","","",""
"","[M]","        MOBIPOCKET.COM","Retail, Retail - Books","10.269","0.005","100","100","","","","","","",""
"","[M]","        REFLEXIVE.COM","Games - Online Gaming, Games","9.205","0.004","100","100","","","","","","",""
"","[M]","        AMAZONSERVICES.COM","Retail","7.33","0.003","100","100","","","","","","",""
"","[M]","        Endless Sites","Retail - Apparel, Retail","1.402","0.001","100","100","","","","","","",""
"","[M]","        CARLUSTBLOG.COM","Social Media, Social Media - Blogs","0.668","0","100","100","","","","","","",""
"7","[P](u)","    MODE Media (formerly Glam Media)","Lifestyles","93221.298","41.528","100","100","100","13461.404","1396.053","1522.399","350464.06","3.983","3.759"
"","[M](U)","        MODE Tend Parenting","Family & Youth","29508.397","13.145","100","100","100","2185.52","289.134","307.427","80393.928","3.596","2.724"
"","[C](u)","            HotChalk","Family & Youth Education, Family & Youth","15729.69","7.007","100","100","100","1048.556","145.889","149.307","36823.45","3.962","2.341"
"","[S](U)","                SPANISHDICT.COM","Directories/Resources, Directories/Resources - Reference","2727.608","1.215","100","100","100","211.666","54.124","51.111","7465.22","7.25","2.737"
"","[S](U)","                SHMOOP.COM","Family & Youth, Family & Youth Education","2610.98","1.163","100","100","100","138.031","19.064","17.602","5018.017","3.799","1.922"
"","[S](U)","                PURPLEMATH.COM","Family & Youth Education, Family & Youth","1791.443","0.798","100","100","100","98.346","3.816","4.1","3205.824","1.19","1.79"
"","[S](U)","                GRADESAVER.COM","Education - Information, Education","1186.877","0.529","100","100","100","75.378","4.949","4.63","2623.399","1.886","2.21"
"","[S]","                MATHWAY.COM","Education, Education - Information","929.639","0.414","100","100","100","63.94","8.151","5.176","2389.774","3.411","2.571"
"","[S](U)","                MATHPLAYGROUND.COM","Family & Youth Education, Family & Youth","819.722","0.365","100","100","100","56.141","7.605","6.665","1914.449","3.973","2.335"
"","[S]","                OPENSTUDY.COM","Social Media - Social Networking, Social Media","722.016","0.322","100","100","100","44.818","6.076","6.696","1634.769","3.717","2.264"
"","[S]","                FAMILYFRIENDPOEMS.COM","Directories/Resources","677.658","0.302","100","100","100","27.704","3.39","3.168","872.684","3.885","1.288"
"","[S](U)","                MATHWAREHOUSE.COM","Family & Youth, Family & Youth Education","675.985","0.301","100","100","100","28.433","2.024","1.674","930.098","2.176","1.376"
"","[S]","                SOFTSCHOOLS.COM","Family & Youth Education, Family & Youth","590.084","0.263","100","100","100","24.122","2.435","6.43","819.912","2.97","1.389"
"","[S](U)","                GRAMMARBOOK.COM","Education","550.964","0.245","100","100","100","19.908","1.231","1.051","663.437","1.855","1.204"
"","[S](U)","                USINGENGLISH.COM","Education, Education - Information","505.685","0.225","100","100","100","18.254","0.982","1.012","609.634","1.61","1.206"
"","[S](U)","                ABBREVIATIONS.COM","Directories/Resources, Directories/Resources - Reference","446.338","0.199","100","100","100","22.163","0.774","1.04","669.605","1.156","1.5"
"","[S](U)","                STUDYSTACK.COM","Family & Youth Education, Family & Youth","376.9","0.168","100","100","100","30.638","2.485","2.314","1112.465","2.234","2.952"
"","[S](U)","                MATHGOODIES.COM","Family & Youth Education, Family & Youth","376.101","0.168","100","100","100","18.069","0.719","0.754","554.639","1.297","1.475"
"","[S]","                ABCTEACH.COM","Family & Youth Education, Family & Youth","365.417","0.163","100","100","100","17.602","1.143","1.587","532.557","2.146","1.457"
"","[S](U)","                HISTORYORB.COM","Directories/Resources - Reference, Directories/Resources","317.454","0.141","100","100","100","15.74","0.98","1.132","477.593","2.053","1.504"
"","[S]","                MRNUSSBAUM.COM","Family & Youth Education, Family & Youth","315.194","0.14","100","100","100","14.051","1.108","1.932","489.59","2.262","1.553"
"","[S](u)","                SOCIALSTUDIESFORKIDS.COM","Family & Youth Education, Family & Youth","290.841","0.13","100","100","100","13.595","0.531","0.616","429.803","1.235","1.478"
"","[S](U)","                WINDOWS2UNIVERSE.ORG","Directories/Resources","273.447","0.122","100","100","100","18.043","0.938","1.066","557.932","1.681","2.04"
"","[S]","                BIOLOGYCORNER.COM","Family & Youth Education, Family & Youth","267.756","0.119","100","100","100","11.941","0.581","0.702","368.003","1.578","1.374"
"","[S]","                SCHOOLTUBE.COM","Education, Education - Information","249.2","0.111","100","100","100","16.08","2.118","1.765","566.622","3.739","2.274"
"","[S](U)","                DEFINITIONS.NET","Directories/Resources, Directories/Resources - Reference","238.835","0.106","100","100","100","13.689","0.622","0.568","430.728","1.443","1.803"
"","[S](u)","                THETEACHERSCORNER.NET","Family & Youth Education, Family & Youth","227.026","0.101","100","100","100","9.927","0.558","1.048","308.337","1.809","1.358"
"","[S](u)","                COURSE-NOTES.ORG","Directories/Resources - Reference, Directories/Resources","225.091","0.1","100","100","100","12.853","1.143","1.586","483.292","2.364","2.147"
"","[S](u)","                4TEACHERS.ORG","Family & Youth Education, Family & Youth","206.322","0.092","100","100","100","8.437","4.243","5.54","276.326","15.357","1.339"
"","[S](U)","                HNN.US","Education - Information, Education","181.24","0.081","100","100","100","7.587","0.478","0.292","231.836","2.06","1.279"
"","[S]","                ONLINESLANGDICTIONARY.COM","Directories/Resources - Reference, Directories/Resources","179.964","0.08","100","100","100","6.556","0.264","0.411","205.113","1.287","1.14"
"","[S](U)","                SCIENCESPOT.NET","Family & Youth Education, Family & Youth","158.345","0.071","100","100","100","14.46","0.411","0.851","436.652","0.942","2.758"
"","[S](U)","                FREEBOOKNOTES.COM","Directories/Resources - Reference, Directories/Resources","146.027","0.065","100","100","100","6.667","0.228","0.274","186.239","1.224","1.275"
"","[S]","                4TESTS.COM","Family & Youth, Family & Youth Education","143.843","0.064","100","100","100","6.288","3.04","4.019","210.935","14.411","1.466"
"","[S]","                ALLKIDSNETWORK.COM","Family & Youth, Family & Youth Education","141.094","0.063","100","100","100","6.53","1.062","0.885","199.143","5.335","1.411"
"","[S](U)","                WRONGPLANET.NET","Health","132.352","0.059","100","100","100","19.399","0.641","0.823","592.56","1.082","4.477"
"","[S](U)","                TWEENTRIBUNE.COM","Social Media, Social Media - Blogs","123.7","0.055","100","100","100","8.299","1.454","2.542","257.179","5.654","2.079"
"","[S](U)","                EZSCHOOL.COM","Family & Youth, Family & Youth Education","123.29","0.055","100","100","100","12.026","0.682","0.655","361.359","1.887","2.931"
"","[S](u)","                ICOACHMATH.COM","Family & Youth, Family & Youth Education","118.772","0.053","100","100","100","4.966","0.22","0.364","161.786","1.36","1.362"
"","[S](U)","                LINGUANAUT.COM","Education","98.951","0.044","100","100","100","4.077","0.178","0.199","123.768","1.439","1.251"
"","[S](U)","                VOCABULARY.CO.IL","Education","89.466","0.04","100","100","100","9.438","0.215","0.453","287.495","0.749","3.213"
"","[S](u)","                KIDSLEARNINGSTATION.COM","Family & Youth Education, Family & Youth","88.122","0.039","100","100","100","3.199","0.276","0.39","104.744","2.631","1.189"
"","[S](U)","                FREEKIDSCRAFTS.COM","Family & Youth - Kids, Family & Youth","87.795","0.039","100","100","100","6.105","0.346","0.386","185.554","1.866","2.114"
"","[S](U)","                EVERYTHINGPRESCHOOL.COM","Family & Youth Education, Family & Youth","76.033","0.034","100","100","100","1.912","0.318","0.434","81.37","3.903","1.07"
"","[S]","                TEACHERS.NET","Family & Youth Education, Family & Youth","73.86","0.033","100","100","100","2.864","0.129","0.178","86.502","1.491","1.171"
"","[S]","                BESTTEENPOEMS.COM","Lifestyles","60.177","0.027","100","100","100","2.362","0.252","0.326","74.947","3.361","1.245"
"","[S]","                EXPLORABLE.COM","Education","53.536","0.024","100","100","100","1.92","0.167","0.127","60.313","2.77","1.127"
"","[S](U)","                RHYMES.NET","Corporate Presence","52.983","0.024","100","100","100","3.06","0.192","0.131","93.391","2.056","1.763"
"","[S]","                SCHOOLEXPRESS.COM","Family & Youth, Family & Youth Education","38.865","0.017","100","100","","","","","","",""
"","[S]","                ELEARNENGLISHLANGUAGE.COM","Education","33.633","0.015","100","100","","","","","","",""
"","[S]","                EDUPICS.COM","Family & Youth Education, Family & Youth","33.048","0.015","100","100","","","","","","",""
"","[S]","                MAKINGFRIENDS.COM","Family & Youth, Family & Youth - Family & Parenting","31.661","0.014","100","100","","","","","","",""
"","[S]","                123CHILD.COM","Lifestyles","27.798","0.012","100","100","","","","","","",""
"","[S](u)","                KIDSCOM.COM","Family & Youth, Family & Youth - Kids","26.784","0.012","100","100","100","1.827","0.118","0.237","59.279","1.987","2.213"
"","[S]","                4LAWSCHOOL.COM","Directories/Resources","26.73","0.012","100","100","","","","","","",""
"","[S](u)","                BIGIQKIDS.COM","Family & Youth, Family & Youth - Family & Parenting","24.327","0.011","100","100","100","1.361","0.343","0.53","42.661","8.045","1.754"
"","[S]","                TEACHERPLANET.COM","Family & Youth Education, Family & Youth","21.793","0.01","100","100","","","","","","",""
"","[C](U)","            StudyBreak Media","Directories/Resources, Directories/Resources - Reference","6213.058","2.768","100","100","100","336.178","62.539","64.827","11735.852","5.329","1.889"
"","[S](U)","                EASYBIB.COM","Directories/Resources - Reference, Directories/Resources","4730.559","2.107","100","100","100","246.19","51.327","54.307","8581.794","5.981","1.814"
"","[S]","                CITATIONMACHINE.NET","Promotional Servers","1129.549","0.503","100","100","100","54.414","3.216","2.78","1844.744","1.743","1.633"
"","[S](u)","                BIBME.ORG","Directories/Resources - Reference, Directories/Resources","911.468","0.406","100","100","100","49.568","7.2","6.808","1694.2","4.25","1.859"
"","[S](u)","                K12READER.COM","Family & Youth Education, Family & Youth","305.725","0.136","100","100","100","11.623","0.642","0.876","368.803","1.74","1.206"
"","[C](U)","            BookRags Media","Directories/Resources, Directories/Resources - Reference","6195.12","2.76","100","100","100","434.647","32.783","32.558","14270.473","2.297","2.304"
"","[S](U)","                BRAINYQUOTE.COM","Directories/Resources - Reference, Directories/Resources","4698.403","2.093","100","100","100","348.864","24.596","23.538","11336.22","2.17","2.413"
"","[S](u)","                CLIFFSNOTES.COM","Directories/Resources - Reference, Directories/Resources","976.241","0.435","100","100","100","47.119","4.134","4.388","1564.553","2.642","1.603"
"","[S](U)","                BOOKRAGS.COM","Directories/Resources, Directories/Resources - Reference","919.755","0.41","100","100","100","69.251","4.052","4.632","2205.723","1.837","2.398"
"","[C](u)","            MYMOMMATOLDME.COM","Family & Youth, Family & Youth - Family & Parenting","1528.799","0.681","100","100","100","118.792","1.998","11.586","3850.751","0.519","2.519"
"","[C](U)","            ENOTES.COM","Family & Youth, Family & Youth Education","1387.669","0.618","100","100","100","57.657","3.372","3.561","1913.592","1.762","1.379"
"","[C](u)","            BESTMOMSTV.COM","Family & Youth, Family & Youth - Family & Parenting","1152.301","0.513","100","100","100","200.647","7.273","23.894","9347.886","0.778","8.112"
"","[C](u)","            MY10ONLINE.COM","Lifestyles","485.677","0.216","100","100","100","106.363","2.414","7.318","4438.677","0.544","9.139"
"","[C]","            College Media Network","News/Information","291.35","0.13","100","100","100","11.191","0.408","0.492","336.59","1.213","1.155"
"","[C](U)","            LIVINGRICHWITHCOUPONS.COM","Family & Youth - Family & Parenting, Family & Youth","269.807","0.12","100","100","100","19.723","1.788","2.967","689.204","2.594","2.554"
"","[C](U)","            BABYNAMEWIZARD.COM","Family & Youth, Family & Youth - Family & Parenting","245.686","0.109","100","100","100","24.816","1.067","1.215","744.485","1.433","3.03"
"","[C](U)","            CRAFTGOSSIP.COM","Lifestyles","239.288","0.107","100","100","100","11.617","0.387","0.544","357.192","1.085","1.493"
"","[C](U)","            DOGGIES.COM","Lifestyles - Pets, Lifestyles","184.271","0.082","100","100","100","9.357","0.176","0.366","291.217","0.605","1.58"
"","[C](U)","            BREEDERS.NET","Lifestyles, Lifestyles - Pets","160.755","0.072","100","100","100","9.096","0.644","0.801","287.431","2.24","1.788"
"","[C](u)","            CRAFTBITS.COM","Lifestyles","116.834","0.052","100","100","100","3.986","0.307","0.331","129.896","2.36","1.112"
"","[C](U)","            FRUGALCOUPONLIVING.COM","Services - Coupons, Services","89.512","0.04","100","100","100","6.577","0.296","0.23","197.302","1.499","2.204"
"","[C](u)","            WEUSECOUPONS.COM","Corporate Presence","87.741","0.039","100","100","100","3.824","0.17","0.217","119.73","1.417","1.365"
"","[C]","            GROCERYSHOPFORFREE.COM","Services - Coupons, Services","63.063","0.028","100","100","","","","","","",""
"","[C](U)","            PENNYPINCHINMOM.COM","Family & Youth, Family & Youth - Family & Parenting","61.189","0.027","100","100","100","9.502","0.23","0.294","465.883","0.494","7.614"
"","[C]","            STRETCHINGABUCKBLOG.COM","Promotional Servers","60.524","0.027","100","100","","","","","","",""
"","[C]","            BARGAINBRIANA.COM","Services","59.547","0.027","100","100","","","","","","",""
"","[C](u)","            MYGAMES4GIRLS.COM","Games","56.833","0.025","100","100","100","2.713","0.294","0.333","85.347","3.447","1.502"
"","[C]","            SIMPLYSTACIE.NET","Lifestyles","49.785","0.022","100","100","","","","","","",""
"","[C]","            TEND.COM","Family & Youth - Family & Parenting, Family & Youth","44.67","0.02","100","100","","","","","","",""
"","[C]","            HENRYHAPPENED.COM","Family & Youth, Family & Youth - Family & Parenting","36.892","0.016","100","100","100","1.304","0.061","0.067","39.804","1.543","1.079"
"","[C]","            MCCALLSQUILTING.COM","News/Information, News/Information - General News","36.1","0.016","100","100","","","","","","",""
"","[C]","            MAMACHEAPS.COM","Lifestyles","23.284","0.01","100","100","","","","","","",""
"","[C](U)","            COUPONSANDFREEBIESMOM.COM","Family & Youth - Family & Parenting, Family & Youth","18.202","0.008","100","100","100","1.695","0.175","0.135","126.212","1.384","6.934"
"","[C]","            BLOMMI.COM","Social Media - Blogs, Social Media","16.548","0.007","100","100","","","","","","",""
"","[C]","            SWEEPTIGHT.COM","Services, Services - Coupons","15.733","0.007","100","100","","","","","","",""
"","[C]","            AHELICOPTERMOM.COM","Family & Youth, Family & Youth - Family & Parenting","9.926","0.004","100","100","","","","","","",""
"","[C]","            OURORDINARYLIFE.COM","Family & Youth - Family & Parenting, Family & Youth","9.5","0.004","100","100","","","","","","",""
"","[C]","            PREGNANCY-CALENDARS.NET","Family & Youth, Family & Youth - Family & Parenting","8.024","0.004","100","100","","","","","","",""
"","[C]","            SEWNEWS.COM","News/Information, News/Information - General News","6.423","0.003","100","100","","","","","","",""
"","[C]","            QUICKBABYNAMES.COM","Directories/Resources","6.353","0.003","100","100","","","","","","",""
"","[C]","            CREATINGKEEPSAKES.COM","News/Information - General News, News/Information","5.865","0.003","100","100","","","","","","",""
"","[C]","            ASKBABY.COM","Family & Youth - Family & Parenting, Family & Youth","5.379","0.002","100","100","","","","","","",""
"","[C]","            MOMFINDS.COM","Family & Youth, Family & Youth - Family & Parenting","3.913","0.002","100","100","","","","","","",""
"","[C]","            PENELOPESOASIS.COM","Family & Youth, Family & Youth - Family & Parenting","1.53","0.001","100","100","","","","","","",""
"","[M](U)","        MODE Entertainment","Entertainment","24428.914","10.882","100","100","100","1480.396","214.866","228.517","53406.031","4.023","2.186"
"","[C](U)","            Mail Online","News/Information, News/Information - Newspapers","21277.592","9.479","100","100","100","1450.788","188.389","137.161","52337.899","3.599","2.46"
"","[S](U)","                DAILYMAIL.CO.UK","News/Information, News/Information - Newspapers","21242.118","9.463","100","100","100","1421.772","188.257","137.059","51291.138","3.67","2.415"
"","[G](U)","                    Mail Online - News","News/Information, News/Information - Newspapers","12571.233","5.6","100","100","100","920.417","60.944","38.617","30237.915","2.015","2.405"
"","[G](U)","                    Mail Online - TV&Showbiz","Entertainment - News, Entertainment","8485.518","3.78","100","100","100","885.719","61.68","42.704","29648.383","2.08","3.494"
"","[G](U)","                    Mail Online - Femail","Entertainment","3610.467","1.608","100","100","100","256.759","10.177","8.827","7977.488","1.276","2.21"
"","[G](U)","                    Mail Online - Science & Tech","Technology","1864.873","0.831","100","100","100","94.43","3.504","3.161","2876.074","1.218","1.542"
"","[G](U)","                    Mail Online - Health","Health","1664.168","0.741","100","100","100","81.123","3.069","2.567","2467.672","1.244","1.483"
"","[G](U)","                    Mail Online - US Homepage","News/Information","982.265","0.438","100","100","100","427.971","30.893","27.571","22109.767","1.397","22.509"
"","[G](U)","                    Mail Online - Sport","Sports","511.172","0.228","100","100","100","57.055","4.627","3.636","2156.401","2.146","4.219"
"","[G](U)","                    Mail Online - UK Homepage","News/Information","427.801","0.191","100","100","100","144.867","6.468","6.225","5459.961","1.185","12.763"
"","[G]","                    Mail Online - Debate","Entertainment","63.604","0.028","100","100","","","","","","",""
"","[G]","                    Mail Online - Travel","Travel","41.048","0.018","100","100","","","","","","",""
"","[S]","                THISISMONEY.CO.UK","Business/Finance, Business/Finance - News/Research","73.431","0.033","100","100","","","","","","",""
"","[C](U)","            CELEBRITYTOOB.COM","Entertainment, Entertainment - News","1049.408","0.467","100","100","100","47.663","6.292","16.85","1525.828","4.124","1.454"
"","[C]","            CELEBDIRTYLAUNDRY.COM","Entertainment - News, Entertainment","681.552","0.304","100","100","100","33.574","2.687","3.04","1182.09","2.273","1.734"
"","[C]","            IGOSSIP.COM","Entertainment","296.598","0.132","100","100","100","10.828","0.34","0.445","325.401","1.045","1.097"
"","[C]","            FAME10.COM","Entertainment","199.506","0.089","100","100","100","7.417","0.412","1.653","224.562","1.834","1.126"
"","[C](U)","            LOVEBSCOTT.COM","Entertainment","157.257","0.07","100","100","100","11.314","0.582","0.756","354.183","1.643","2.252"
"","[C](u)","            VIDEOSIFT.COM","Entertainment, Entertainment - Multimedia","152.435","0.068","100","100","100","7.338","0.314","0.316","229.76","1.368","1.507"
"","[C]","            SCALLYWAGANDVAGABOND.COM","Lifestyles","132.643","0.059","100","100","100","5.046","0.289","0.463","151.854","1.904","1.145"
"","[C](U)","            UNREALITYTV.CO.UK","Entertainment - News, Entertainment","128.148","0.057","100","100","100","6.332","0.183","0.217","194.008","0.943","1.514"
"","[C]","            THATGRAPEJUICE.NET","Entertainment","126.727","0.056","100","100","100","13.316","2.705","22.328","450.183","6.008","3.552"
"","[C](U)","            THESIMSRESOURCE.COM","Games - Gaming Information, Games","113.503","0.051","100","100","100","15.24","12.66","16.524","618.378","20.473","5.448"
"","[C](U)","            FOTKI.COM","Services - Photos, Services","112.192","0.05","100","100","100","7.783","0.777","2.435","268.454","2.894","2.393"
"","[C]","            HIPHOLLYWOOD.COM","Entertainment, Entertainment - TV","107.295","0.048","100","100","100","4.572","0.153","0.25","137.167","1.114","1.278"
"","[C](U)","            GOSSIPONTHIS.COM","Entertainment","106.425","0.047","100","100","100","4.951","0.261","0.536","168.682","1.545","1.585"
"","[C](U)","            MORPHTHING.COM","Services","106.263","0.047","100","100","100","4.293","1.206","2.52","140.597","8.58","1.323"
"","[C](u)","            FEMALEFIRST.CO.UK","Lifestyles","99.204","0.044","100","100","100","5.244","0.081","0.2","157.305","0.518","1.586"
"","[C](U)","            IMNOTOBSESSED.COM","Social Media, Social Media - Blogs","93.064","0.041","100","100","100","9.262","0.342","0.703","298.162","1.148","3.204"
"","[C](U)","            KEEPBUSY.NET","Entertainment - Multimedia, Entertainment","63.453","0.028","100","100","100","9.638","0.828","0.927","433.525","1.911","6.832"
"","[C]","            WINSTER.COM","Games - Online Gaming, Games","44.483","0.02","100","100","","","","","","",""
"","[C](U)","            MISSJIA.COM","Entertainment - News, Entertainment","38.287","0.017","100","100","100","2.867","0.08","0.098","86.021","0.934","2.247"
"","[C]","            ICYDK.COM","Entertainment - News, Entertainment","34.611","0.015","100","100","","","","","","",""
"","[C]","            THEROYALFORUMS.COM","Entertainment","32.553","0.015","100","100","","","","","","",""
"","[C]","            ASTROSTYLE.COM","Entertainment","29.997","0.013","100","100","100","4.371","0.322","0.215","155.315","2.072","5.178"
"","[C]","            ALLIEISWIRED.COM","Entertainment","28.915","0.013","100","100","","","","","","",""
"","[C](u)","            ONLINE-GAMES-ZONE.COM","Games, Games - Online Gaming","27.051","0.012","100","100","100","2.734","0.165","0.257","88.622","1.859","3.276"
"","[C]","            MONSTERSANDCRITICS.COM","Entertainment - News, Entertainment","17.937","0.008","100","100","","","","","","",""
"","[C]","            FIRSTCLASSFASHIONISTA.COM","Lifestyles - Beauty/Fashion/Style, Lifestyles","17.837","0.008","100","100","","","","","","",""
"","[C]","            RHYMESWITHSNITCH.COM","Entertainment","15.638","0.007","100","100","","","","","","",""
"","[C]","            REDALERTLIVE.COM","Entertainment - News, Entertainment","15.049","0.007","100","100","","","","","","",""
"","[C]","            SOULBOUNCE.COM","Entertainment, Entertainment - Music","14.762","0.007","100","100","","","","","","",""
"","[C]","            BUMPSHACK.COM","Entertainment, Entertainment - News","14.003","0.006","100","100","","","","","","",""
"","[C]","            CELEBBABYLAUNDRY.COM","Entertainment, Entertainment - News","13.552","0.006","100","100","","","","","","",""
"","[C]","            AMYGRINDHOUSE.COM","Entertainment, Entertainment - News","10.7","0.005","100","100","","","","","","",""
"","[C]","            HOLLYWOODHICCUPS.COM","Entertainment - News, Entertainment","10.293","0.005","100","100","","","","","","",""
"","[C]","            SPLASHNEWSONLINE.COM","Entertainment - News, Entertainment","9.359","0.004","100","100","","","","","","",""
"","[C]","            YAZMAR.COM","Entertainment, Entertainment - Music","8.342","0.004","100","100","","","","","","",""
"","[C]","            THELAVALIZARD.COM","Entertainment, Entertainment - Music","6.045","0.003","100","100","","","","","","",""
"","[C]","            CELEBRITYSMACKBLOG.COM","Entertainment","4.917","0.002","100","100","","","","","","",""
"","[C]","            HOLLYWOODITE.COM","Entertainment - News, Entertainment","4.858","0.002","100","100","","","","","","",""
"","[C]","            GIRLSTALKINSMACK.COM","Entertainment - News, Entertainment","3.375","0.002","100","100","","","","","","",""
"","[C]","            BACKSEATCUDDLER.COM","Entertainment, Entertainment - News","2.744","0.001","100","100","","","","","","",""
"","[C]","            GOSSIPJACKER.NET","Corporate Presence","2.19","0.001","100","100","","","","","","",""
"","[C]","            360-FACES.DE","Games - Gaming Information, Games","2.148","0.001","100","100","","","","","","",""
"","[C]","            POPONTHEPOP.COM","Entertainment, Entertainment - News","1.984","0.001","100","100","","","","","","",""
"","[C]","            DLH.NET","Games - Gaming Information, Games","1.71","0.001","100","100","","","","","","",""
"","[C]","            BRASH.COM","Entertainment","0.974","0","100","100","","","","","","",""
"","[C]","            ILULUONLINE.COM","Entertainment, Entertainment - News","0.409","0","100","100","","","","","","",""
"","[C]","            BAUERGRIFFINONLINE.COM","Social Media - Blogs, Social Media","0.392","0","100","100","","","","","","",""
"","[C]","            THESKINNYWEBSITE.COM","Entertainment, Entertainment - News","0.384","0","100","100","","","","","","",""
"","[C]","            ENTERTAINMENTRUNDOWN.COM","Entertainment","0.374","0","100","100","","","","","","",""
"","[C]","            DYFUSE.COM","Entertainment","0.289","0","100","100","","","","","","",""
"","[C]","            HOLLYWOODBACKWASH.COM","Entertainment - News, Entertainment","0.119","0","100","100","","","","","","",""
"","[M](U)","        COOLMATH-GAMES.COM","Family & Youth - Kids, Family & Youth","13589.644","6.054","100","100","100","1393.932","351.02","207.76","52332.458","6.707","3.851"
"","[M]","        FreeRideGames","Games - Online Gaming, Games","11602.471","5.169","100","100","100","4535.534","7.539","7.881","12405.194","0.608","1.069"
"","[C]","            FreeRideGames (App)","Games","11759.229","5.238","100","100","","4531.244","0","0","","",""
"","[C]","            FREERIDEGAMES.COM","Games, Games - Online Gaming","616.485","0.275","100","100","100","50.698","7.539","7.881","1842.121","4.093","2.988"
"","[M](U)","        GOODREADS.COM","Social Media, Social Media - Social Networking","10856.285","4.836","100","100","100","533.262","79.865","109.539","19137.956","4.173","1.763"
"","[M](U)","        MODE Social","Social Media","9568.939","4.263","100","100","100","486.692","37.568","35.172","16686.184","2.251","1.744"
"","[C](U)","            HUBPAGES.COM","Social Media - Blogs, Social Media","7487.911","3.336","100","100","100","338.786","17.175","14.053","10663.334","1.611","1.424"
"","[C](U)","            NING.COM*","Social Media - Social Networking, Social Media","1095.068","0.488","100","100","100","73.962","16.41","14.571","3326.068","4.934","3.037"
"","[C]","            MYMODERNMET.COM","Social Media - Social Networking, Social Media","645.131","0.287","100","100","100","29.452","1.427","1.487","932.995","1.53","1.446"
"","[C](U)","            BALLERALERT.COM","Lifestyles","84.682","0.038","100","100","100","20.756","0.294","0.477","797.795","0.369","9.421"
"","[C](U)","            NAVYFORMOMS.COM","Family & Youth, Family & Youth - Family & Parenting","78.697","0.035","100","100","100","8.758","0.453","0.5","284.808","1.592","3.619"
"","[C]","            DIYDRONES.COM","Social Media, Social Media - Social Networking","75.814","0.034","100","100","","","","","","",""
"","[C](U)","            RECRUITINGBLOGS.COM","Social Media - Social Networking, Social Media","47.506","0.021","100","100","100","2.396","0.036","0.094","71.865","0.499","1.513"
"","[C]","            PAGANSPACE.NET","Social Media, Social Media - Social Networking","25.518","0.011","100","100","","","","","","",""
"","[C]","            GRASSHOPPER3D.COM","Social Media - Social Networking, Social Media","15.463","0.007","100","100","","","","","","",""
