"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[G]","                    Yahoo Hong Kong Web Search","Search/Navigation","85.907","0.038","100","100","100","7.341","0.27","0.434","231.346","1.168","2.693"
"","[G]","                    Yahoo Hong Kong Dictionary Search","Search/Navigation","71.547","0.032","100","100","","","","","","",""
"","[S]","                Yahoo UK & Ireland Search","Search/Navigation","95.569","0.043","100","100","100","4.403","0.118","0.276","141.266","0.834","1.478"
"","[G]","                    Yahoo UK & Ireland Web Search","Search/Navigation","92.008","0.041","100","100","100","4.251","0.098","0.232","136.728","0.718","1.486"
"","[S]","                Yahoo Spain Search","Search/Navigation","82.54","0.037","100","100","100","9.53","0.463","0.787","352.913","1.311","4.276"
"","[G]","                    Yahoo Spain Web Search","Search/Navigation","82.54","0.037","100","100","100","9.53","0.193","0.538","352.913","0.546","4.276"
"","[G]","                    Yahoo Spain Image Search","Search/Navigation","6.339","0.003","100","100","","","","","","",""
"","[S]","                Yahoo Canada Search","Search/Navigation","76.713","0.034","100","100","100","4.343","0.1","0.399","179.307","0.557","2.337"
"","[G]","                    Yahoo Canada Web Search","Search/Navigation","48.007","0.021","100","100","","","","","","",""
"","[S]","                Yahoo Mexico Search","Search/Navigation","72.74","0.032","100","100","100","9.843","0.739","1.623","453.92","1.627","6.24"
"","[G]","                    Yahoo Mexico Image Search","Search/Navigation","10.267","0.005","100","100","","","","","","",""
"","[G]","                    Yahoo Mexico Video Search","Search/Navigation","10.089","0.004","100","100","","","","","","",""
"","[S]","                Yahoo France Search","Search/Navigation","58.108","0.026","100","100","100","3.42","0.113","0.233","106.852","1.059","1.839"
"","[G]","                    Yahoo France Web Search","Search/Navigation","58.108","0.026","100","100","100","3.416","0.06","0.125","106.736","0.562","1.837"
"","[S]","                Yahoo Vietnam Search","Search/Navigation","36.289","0.016","100","100","100","8.688","0.297","0.762","455.018","0.652","12.539"
"","[G]","                    Yahoo Vietnam Web Search","Search/Navigation","22.673","0.01","100","100","","","","","","",""
